,Actual Activity,,,Adstock,,,Total  Activity,,,,,,,,,,,
Week,TV,radio,newspaper,TV,radio,newspaper,TV,radio,newspaper,,,Intial Adstock for TV,0,,,TV,Radio,Newspaper
1,230.10,37.80,69.20,0.00,0.00,0.00,230.10,37.80,69.20,,,Intial Adstock for Radio,0,,,0,0,0
2,44.50,39.30,45.10,184.08,18.90,13.84,228.58,58.20,58.94,,,Intial Adstock for Newspaper,0,,,0,0,0
3,17.20,45.90,69.30,182.86,29.10,47.15,200.06,75.00,116.45,,,,,,,0,0,0
4,151.50,41.30,58.50,160.05,37.50,93.16,311.55,78.80,151.66,,,Decay for TV,0.2,,,0,0,0
5,180.80,10.80,58.40,249.24,39.40,121.33,430.04,50.20,179.73,,,Decay for Radio,0.5,,,0,0,0
6,8.70,48.90,75.00,344.03,25.10,143.78,352.73,74.00,218.78,,,Decay for Newspaper,0.8,,,0,0,0
7,57.50,32.80,23.50,282.19,37.00,175.03,339.69,69.80,198.53,,,,,,,,,
8,120.20,19.60,11.60,271.75,34.90,158.82,391.95,54.50,170.42,,,,,,,,,
9,8.60,2.10,1.00,313.56,27.25,136.34,322.16,29.35,137.34,,,,,,,,,
10,199.80,2.60,21.20,257.73,14.68,109.87,457.53,17.28,131.07,,,,,,,,,
11,66.10,5.80,24.20,366.02,8.64,104.86,432.12,14.44,129.06,,,,,,,,,
12,214.70,24.00,4.00,345.70,7.22,103.24,560.40,31.22,107.24,,,,,,,,,
13,23.80,35.10,65.90,448.32,15.61,85.80,472.12,50.71,151.70,,,,,,,,,
14,97.50,7.60,7.20,377.69,25.35,121.36,475.19,32.95,128.56,,,,,,,,,
15,204.10,32.90,46.00,380.16,16.48,102.85,584.26,49.38,148.85,,,,,,,,,
16,195.40,47.70,52.90,467.40,24.69,119.08,662.80,72.39,171.98,,,,,,,,,
17,67.80,36.60,114.00,530.24,36.19,137.58,598.04,72.79,251.58,,,,,,,,,
18,281.40,39.60,55.80,478.43,36.40,201.26,759.83,76.00,257.06,,,,,,,,,
19,69.20,20.50,18.30,607.87,38.00,205.65,677.07,58.50,223.95,,,,,,,,,
20,147.30,23.90,19.10,541.65,29.25,179.16,688.95,53.15,198.26,,,,,,,,,
21,218.40,27.70,53.40,551.16,26.57,158.61,769.56,54.27,212.01,,,,,,,,,
22,237.40,5.10,23.50,615.65,27.14,169.61,853.05,32.24,193.11,,,,,,,,,
23,13.20,15.90,49.60,682.44,16.12,154.49,695.64,32.02,204.09,,,,,,,,,
24,228.30,16.90,26.20,556.51,16.01,163.27,784.81,32.91,189.47,,,,,,,,,
25,62.30,12.60,18.30,627.85,16.45,151.57,690.15,29.05,169.87,,,,,,,,,
26,262.90,3.50,19.50,552.12,14.53,135.90,815.02,18.03,155.40,,,,,,,,,
27,142.90,29.30,12.60,652.02,9.01,124.32,794.92,38.31,136.92,,,,,,,,,
28,240.10,16.70,22.90,635.93,19.16,109.54,876.03,35.86,132.44,,,,,,,,,
29,248.80,27.10,22.90,700.83,17.93,105.95,949.63,45.03,128.85,,,,,,,,,
30,70.60,16.00,40.80,759.70,22.51,103.08,830.30,38.51,143.88,,,,,,,,,
31,292.90,28.30,43.20,664.24,19.26,115.10,957.14,47.56,158.30,,,,,,,,,
32,112.90,17.40,38.60,765.71,23.78,126.64,878.61,41.18,165.24,,,,,,,,,
33,97.20,1.50,30.00,702.89,20.59,132.19,800.09,22.09,162.19,,,,,,,,,
34,265.60,20.00,0.30,640.07,11.04,129.76,905.67,31.04,130.06,,,,,,,,,
35,95.70,1.40,7.40,724.54,15.52,104.04,820.24,16.92,111.44,,,,,,,,,
36,290.70,4.10,8.50,656.19,8.46,89.16,946.89,12.56,97.66,,,,,,,,,
37,266.90,43.80,5.00,757.51,6.28,78.12,1024.41,50.08,83.12,,,,,,,,,
38,74.70,49.40,45.70,819.53,25.04,66.50,894.23,74.44,112.20,,,,,,,,,
39,43.10,26.70,35.10,715.38,37.22,89.76,758.48,63.92,124.86,,,,,,,,,
40,228.00,37.70,32.00,606.79,31.96,99.89,834.79,69.66,131.89,,,,,,,,,
41,202.50,22.30,31.60,667.83,34.83,105.51,870.33,57.13,137.11,,,,,,,,,
42,177.00,33.40,38.70,696.26,28.57,109.69,873.26,61.97,148.39,,,,,,,,,
43,293.60,27.70,1.80,698.61,30.98,118.71,992.21,58.68,120.51,,,,,,,,,
44,206.90,8.40,26.40,793.77,29.34,96.41,1000.67,37.74,122.81,,,,,,,,,
45,25.10,25.70,43.30,800.54,18.87,98.25,825.64,44.57,141.55,,,,,,,,,
46,175.10,22.50,31.50,660.51,22.29,113.24,835.61,44.79,144.74,,,,,,,,,
47,89.70,9.90,35.70,668.49,22.39,115.79,758.19,32.29,151.49,,,,,,,,,
48,239.90,41.50,18.50,606.55,16.15,121.19,846.45,57.65,139.69,,,,,,,,,
49,227.20,15.80,49.90,677.16,28.82,111.75,904.36,44.62,161.65,,,,,,,,,
50,66.90,11.70,36.80,723.49,22.31,129.32,790.39,34.01,166.12,,,,,,,,,
51,199.80,3.10,34.60,632.31,17.01,132.90,832.11,20.11,167.50,,,,,,,,,
52,100.40,9.60,3.60,665.69,10.05,134.00,766.09,19.65,137.60,,,,,,,,,
53,216.40,41.70,39.60,612.87,9.83,110.08,829.27,51.53,149.68,,,,,,,,,
54,182.60,46.20,58.70,663.42,25.76,119.74,846.02,71.96,178.44,,,,,,,,,
55,262.70,28.80,15.90,676.81,35.98,142.75,939.51,64.78,158.65,,,,,,,,,
56,198.90,49.40,60.00,751.61,32.39,126.92,950.51,81.79,186.92,,,,,,,,,
57,7.30,28.10,41.40,760.41,40.90,149.54,767.71,69.00,190.94,,,,,,,,,
58,136.20,19.20,16.60,614.17,34.50,152.75,750.37,53.70,169.35,,,,,,,,,
59,210.80,49.60,37.70,600.29,26.85,135.48,811.09,76.45,173.18,,,,,,,,,
60,210.70,29.50,9.30,648.87,38.22,138.54,859.57,67.72,147.84,,,,,,,,,
61,53.50,2.00,21.40,687.66,33.86,118.28,741.16,35.86,139.68,,,,,,,,,
62,261.30,42.70,54.70,592.93,17.93,111.74,854.23,60.63,166.44,,,,,,,,,
63,239.30,15.50,27.30,683.38,30.32,133.15,922.68,45.82,160.45,,,,,,,,,
64,102.70,29.60,8.40,738.15,22.91,128.36,840.85,52.51,136.76,,,,,,,,,
65,131.10,42.80,28.90,672.68,26.25,109.41,803.78,69.05,138.31,,,,,,,,,
66,69.00,9.30,0.90,643.02,34.53,110.65,712.02,43.83,111.55,,,,,,,,,
67,31.50,24.60,2.20,569.62,21.91,89.24,601.12,46.51,91.44,,,,,,,,,
68,139.30,14.50,10.20,480.89,23.26,73.15,620.19,37.76,83.35,,,,,,,,,
69,237.40,27.50,11.00,496.15,18.88,66.68,733.55,46.38,77.68,,,,,,,,,
70,216.80,43.90,27.20,586.84,23.19,62.14,803.64,67.09,89.34,,,,,,,,,
71,199.10,30.60,38.70,642.92,33.54,71.48,842.02,64.14,110.18,,,,,,,,,
72,109.80,14.30,31.70,673.61,32.07,88.14,783.41,46.37,119.84,,,,,,,,,
73,26.80,33.00,19.30,626.73,23.19,95.87,653.53,56.19,115.17,,,,,,,,,
74,129.40,5.70,31.30,522.82,28.09,92.14,652.22,33.79,123.44,,,,,,,,,
75,213.40,24.60,13.10,521.78,16.90,98.75,735.18,41.50,111.85,,,,,,,,,
76,16.90,43.70,89.40,588.14,20.75,89.48,605.04,64.45,178.88,,,,,,,,,
77,27.50,1.60,20.70,484.03,32.22,143.10,511.53,33.82,163.80,,,,,,,,,
78,120.50,28.50,14.20,409.23,16.91,131.04,529.73,45.41,145.24,,,,,,,,,
79,5.40,29.90,9.40,423.78,22.71,116.19,429.18,52.61,125.59,,,,,,,,,
80,116.00,7.70,23.10,343.35,26.30,100.48,459.35,34.00,123.58,,,,,,,,,
81,76.40,26.70,22.30,367.48,17.00,98.86,443.88,43.70,121.16,,,,,,,,,
82,239.80,4.10,36.90,355.10,21.85,96.93,594.90,25.95,133.83,,,,,,,,,
83,75.30,20.30,32.50,475.92,12.98,107.06,551.22,33.28,139.56,,,,,,,,,
84,68.40,44.50,35.60,440.98,16.64,111.65,509.38,61.14,147.25,,,,,,,,,
85,213.50,43.00,33.80,407.50,30.57,117.80,621.00,73.57,151.60,,,,,,,,,
86,193.20,18.40,65.70,496.80,36.78,121.28,690.00,55.18,186.98,,,,,,,,,
87,76.30,27.50,16.00,552.00,27.59,149.58,628.30,55.09,165.58,,,,,,,,,
88,110.70,40.60,63.20,502.64,27.55,132.47,613.34,68.15,195.67,,,,,,,,,
89,88.30,25.50,73.40,490.67,34.07,156.53,578.97,59.57,229.93,,,,,,,,,
90,109.80,47.80,51.40,463.18,29.79,183.95,572.98,77.59,235.35,,,,,,,,,
91,134.30,4.90,9.30,458.38,38.79,188.28,592.68,43.69,197.58,,,,,,,,,
92,28.60,1.50,33.00,474.15,21.85,158.06,502.75,23.35,191.06,,,,,,,,,
93,217.70,33.50,59.00,402.20,11.67,152.85,619.90,45.17,211.85,,,,,,,,,
94,250.90,36.50,72.30,495.92,22.59,169.48,746.82,59.09,241.78,,,,,,,,,
95,107.40,14.00,10.90,597.45,29.54,193.42,704.85,43.54,204.32,,,,,,,,,
96,163.30,31.60,52.90,563.88,21.77,163.46,727.18,53.37,216.36,,,,,,,,,
97,197.60,3.50,5.90,581.75,26.69,173.09,779.35,30.19,178.99,,,,,,,,,
98,184.90,21.00,22.00,623.48,15.09,143.19,808.38,36.09,165.19,,,,,,,,,
99,289.70,42.30,51.20,646.70,18.05,132.15,936.40,60.35,183.35,,,,,,,,,
100,135.20,41.70,45.90,749.12,30.17,146.68,884.32,71.87,192.58,,,,,,,,,
101,222.40,4.30,49.80,707.46,35.94,154.07,929.86,40.24,203.87,,,,,,,,,
102,296.40,36.30,100.90,743.89,20.12,163.09,1040.29,56.42,263.99,,,,,,,,,
103,280.20,10.10,21.40,832.23,28.21,211.19,1112.43,38.31,232.59,,,,,,,,,
104,187.90,17.20,17.90,889.94,19.15,186.07,1077.84,36.35,203.97,,,,,,,,,
105,238.20,34.30,5.30,862.27,18.18,163.18,1100.47,52.48,168.48,,,,,,,,,
106,137.90,46.40,59.00,880.38,26.24,134.78,1018.28,72.64,193.78,,,,,,,,,
107,25.00,11.00,29.70,814.62,36.32,155.03,839.62,47.32,184.73,,,,,,,,,
108,90.40,0.30,23.20,671.70,23.66,147.78,762.10,23.96,170.98,,,,,,,,,
109,13.10,0.40,25.60,609.68,11.98,136.79,622.78,12.38,162.39,,,,,,,,,
110,255.40,26.90,5.50,498.22,6.19,129.91,753.62,33.09,135.41,,,,,,,,,
111,225.80,8.20,56.50,602.90,16.54,108.33,828.70,24.74,164.83,,,,,,,,,
112,241.70,38.00,23.20,662.96,12.37,131.86,904.66,50.37,155.06,,,,,,,,,
113,175.70,15.40,2.40,723.73,25.19,124.05,899.43,40.59,126.45,,,,,,,,,
114,209.60,20.60,10.70,719.54,20.29,101.16,929.14,40.89,111.86,,,,,,,,,
115,78.20,46.80,34.50,743.31,20.45,89.49,821.51,67.25,123.99,,,,,,,,,
116,75.10,35.00,52.70,657.21,33.62,99.19,732.31,68.62,151.89,,,,,,,,,
117,139.20,14.30,25.60,585.85,34.31,121.51,725.05,48.61,147.11,,,,,,,,,
118,76.40,0.80,14.80,580.04,24.31,117.69,656.44,25.11,132.49,,,,,,,,,
119,125.70,36.90,79.20,525.15,12.55,105.99,650.85,49.45,185.19,,,,,,,,,
120,19.40,16.00,22.30,520.68,24.73,148.15,540.08,40.73,170.45,,,,,,,,,
121,141.30,26.80,46.20,432.06,20.36,136.36,573.36,47.16,182.56,,,,,,,,,
122,18.80,21.70,50.40,458.69,23.58,146.05,477.49,45.28,196.45,,,,,,,,,
123,224.00,2.40,15.60,381.99,22.64,157.16,605.99,25.04,172.76,,,,,,,,,
124,123.10,34.60,12.40,484.79,12.52,138.21,607.89,47.12,150.61,,,,,,,,,
125,229.50,32.30,74.20,486.32,23.56,120.49,715.82,55.86,194.69,,,,,,,,,
126,87.20,11.80,25.90,572.65,27.93,155.75,659.85,39.73,181.65,,,,,,,,,
127,7.80,38.90,50.60,527.88,19.87,145.32,535.68,58.77,195.92,,,,,,,,,
128,80.20,0.00,9.20,428.55,29.38,156.74,508.75,29.38,165.94,,,,,,,,,
129,220.30,49.00,3.20,407.00,14.69,132.75,627.30,63.69,135.95,,,,,,,,,
130,59.60,12.00,43.10,501.84,31.85,108.76,561.44,43.85,151.86,,,,,,,,,
131,0.70,39.60,8.70,449.15,21.92,121.49,449.85,61.52,130.19,,,,,,,,,
132,265.20,2.90,43.00,359.88,30.76,104.15,625.08,33.66,147.15,,,,,,,,,
133,8.40,27.20,2.10,500.06,16.83,117.72,508.46,44.03,119.82,,,,,,,,,
134,219.80,33.50,45.10,406.77,22.02,95.86,626.57,55.52,140.96,,,,,,,,,
135,36.90,38.60,65.60,501.26,27.76,112.76,538.16,66.36,178.36,,,,,,,,,
136,48.30,47.00,8.50,430.53,33.18,142.69,478.83,80.18,151.19,,,,,,,,,
137,25.60,39.00,9.30,383.06,40.09,120.95,408.66,79.09,130.25,,,,,,,,,
138,273.70,28.90,59.70,326.93,39.54,104.20,600.63,68.44,163.90,,,,,,,,,
139,43.00,25.90,20.50,480.50,34.22,131.12,523.50,60.12,151.62,,,,,,,,,
140,184.90,43.90,1.70,418.80,30.06,121.30,603.70,73.96,123.00,,,,,,,,,
141,73.40,17.00,12.90,482.96,36.98,98.40,556.36,53.98,111.30,,,,,,,,,
142,193.70,35.40,75.60,445.09,26.99,89.04,638.79,62.39,164.64,,,,,,,,,
143,220.50,33.20,37.90,511.03,31.20,131.71,731.53,64.40,169.61,,,,,,,,,
144,104.60,5.70,34.40,585.23,32.20,135.69,689.83,37.90,170.09,,,,,,,,,
145,96.20,14.80,38.90,551.86,18.95,136.07,648.06,33.75,174.97,,,,,,,,,
146,140.30,1.90,9.00,518.45,16.87,139.98,658.75,18.77,148.98,,,,,,,,,
147,240.10,7.30,8.70,527.00,9.39,119.18,767.10,16.69,127.88,,,,,,,,,
148,243.20,49.00,44.30,613.68,8.34,102.31,856.88,57.34,146.61,,,,,,,,,
149,38.00,40.30,11.90,685.50,28.67,117.28,723.50,68.97,129.18,,,,,,,,,
150,44.70,25.80,20.60,578.80,34.49,103.35,623.50,60.29,123.95,,,,,,,,,
151,280.70,13.90,37.00,498.80,30.14,99.16,779.50,44.04,136.16,,,,,,,,,
152,121.00,8.40,48.70,623.60,22.02,108.93,744.60,30.42,157.63,,,,,,,,,
153,197.60,23.30,14.20,595.68,15.21,126.10,793.28,38.51,140.30,,,,,,,,,
154,171.30,39.70,37.70,634.62,19.26,112.24,805.92,58.96,149.94,,,,,,,,,
155,187.80,21.10,9.50,644.74,29.48,119.95,832.54,50.58,129.45,,,,,,,,,
156,4.10,11.60,5.70,666.03,25.29,103.56,670.13,36.89,109.26,,,,,,,,,
157,93.90,43.50,50.50,536.11,18.44,87.41,630.01,61.94,137.91,,,,,,,,,
158,149.80,1.30,24.30,504.00,30.97,110.33,653.80,32.27,134.63,,,,,,,,,
159,11.70,36.90,45.20,523.04,16.14,107.70,534.74,53.04,152.90,,,,,,,,,
160,131.70,18.40,34.60,427.79,26.52,122.32,559.49,44.92,156.92,,,,,,,,,
161,172.50,18.10,30.70,447.60,22.46,125.54,620.10,40.56,156.24,,,,,,,,,
162,85.70,35.80,49.30,496.08,20.28,124.99,581.78,56.08,174.29,,,,,,,,,
163,188.40,18.10,25.60,465.42,28.04,139.43,653.82,46.14,165.03,,,,,,,,,
164,163.50,36.80,7.40,523.06,23.07,132.03,686.56,59.87,139.43,,,,,,,,,
165,117.20,14.70,5.40,549.25,29.93,111.54,666.45,44.63,116.94,,,,,,,,,
166,234.50,3.40,84.80,533.16,22.32,93.55,767.66,25.72,178.35,,,,,,,,,
167,17.90,37.60,21.60,614.13,12.86,142.68,632.03,50.46,164.28,,,,,,,,,
168,206.80,5.20,19.40,505.62,25.23,131.43,712.42,30.43,150.83,,,,,,,,,
169,215.40,23.60,57.60,569.94,15.21,120.66,785.34,38.81,178.26,,,,,,,,,
170,284.30,10.60,6.40,628.27,19.41,142.61,912.57,30.01,149.01,,,,,,,,,
171,50.00,11.60,18.40,730.06,15.00,119.21,780.06,26.60,137.61,,,,,,,,,
172,164.50,20.90,47.40,624.04,13.30,110.09,788.54,34.20,157.49,,,,,,,,,
173,19.60,20.10,17.00,630.84,17.10,125.99,650.44,37.20,142.99,,,,,,,,,
174,168.40,7.10,12.80,520.35,18.60,114.39,688.75,25.70,127.19,,,,,,,,,
175,222.40,3.40,13.10,551.00,12.85,101.75,773.40,16.25,114.85,,,,,,,,,
176,276.90,48.90,41.80,618.72,8.13,91.88,895.62,57.03,133.68,,,,,,,,,
177,248.40,30.20,20.30,716.50,28.51,106.95,964.90,58.71,127.25,,,,,,,,,
178,170.20,7.80,35.20,771.92,29.36,101.80,942.12,37.16,137.00,,,,,,,,,
179,276.70,2.30,23.70,753.69,18.58,109.60,1030.39,20.88,133.30,,,,,,,,,
180,165.60,10.00,17.60,824.31,10.44,106.64,989.91,20.44,124.24,,,,,,,,,
181,156.60,2.60,8.30,791.93,10.22,99.39,948.53,12.82,107.69,,,,,,,,,
182,218.50,5.40,27.40,758.83,6.41,86.15,977.33,11.81,113.55,,,,,,,,,
183,56.20,5.70,29.70,781.86,5.90,90.84,838.06,11.60,120.54,,,,,,,,,
184,287.60,43.00,71.80,670.45,5.80,96.43,958.05,48.80,168.23,,,,,,,,,
185,253.80,21.30,30.00,766.44,24.40,134.59,1020.24,45.70,164.59,,,,,,,,,
186,205.00,45.10,19.60,816.19,22.85,131.67,1021.19,67.95,151.27,,,,,,,,,
187,139.50,2.10,26.60,816.95,33.98,121.02,956.45,36.08,147.62,,,,,,,,,
188,191.10,28.70,18.20,765.16,18.04,118.09,956.26,46.74,136.29,,,,,,,,,
189,286.00,13.90,3.70,765.01,23.37,109.03,1051.01,37.27,112.73,,,,,,,,,
190,18.70,12.10,23.40,840.81,18.63,90.19,859.51,30.73,113.59,,,,,,,,,
191,39.50,41.10,5.80,687.61,15.37,90.87,727.11,56.47,96.67,,,,,,,,,
192,75.50,10.80,6.00,581.68,28.23,77.34,657.18,39.03,83.34,,,,,,,,,
193,17.20,4.10,31.60,525.75,19.52,66.67,542.95,23.62,98.27,,,,,,,,,
194,166.80,42.00,3.60,434.36,11.81,78.61,601.16,53.81,82.21,,,,,,,,,
195,149.70,35.60,6.00,480.93,26.90,65.77,630.63,62.50,71.77,,,,,,,,,
196,38.20,3.70,13.80,504.50,31.25,57.42,542.70,34.95,71.22,,,,,,,,,
197,94.20,4.90,8.10,434.16,17.48,56.97,528.36,22.38,65.07,,,,,,,,,
198,177.00,9.30,6.40,422.69,11.19,52.06,599.69,20.49,58.46,,,,,,,,,
199,283.60,42.00,66.20,479.75,10.24,46.77,763.35,52.24,112.97,,,,,,,,,
200,232.10,8.60,8.70,610.68,26.12,90.37,842.78,34.72,99.07,,,,,,,,,
